"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"5 Jul 2024 9:24:28 am UTC","22572908662","Shipping Services
","402-9370256-6797922","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-66.08","0","-66.08"
"5 Jul 2024 9:39:48 am UTC","22572820122","Order
","403-2980888-4395528","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","BALLARI","KARNATAKA","583101","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"5 Jul 2024 9:39:52 am UTC","22572908662","Order
","402-9370256-6797922","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","BHAGWANPUR","UTTARAKHAND","247661","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"6 Jul 2024 4:54:45 am UTC","22572820122","Shipping Services
","407-6427995-8532314","","Amazon Easy Ship Weight Handling Fee Reversal","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","66.08","0","66.08"
"6 Jul 2024 5:10:06 am UTC","22572820122","Refund
","407-6427995-8532314","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","TONK","RAJASTHAN","304001","-299.00","0","0","0","0","0","0","0","17.64","0","10.62","0","-270.74"
"6 Jul 2024 10:07:46 am UTC","22572908662","Shipping Services
","403-5413550-9618764","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-70.80","0","-70.80"
"6 Jul 2024 10:08:28 am UTC","22572908662","Shipping Services
","405-7364635-5553966","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-66.08","0","-66.08"
"6 Jul 2024 10:08:31 am UTC","22572820122","Shipping Services
","408-4079850-5981145","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-66.08","0","-66.08"
"6 Jul 2024 10:08:35 am UTC","22572820122","Shipping Services
","405-4154062-1823537","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-66.08","0","-66.08"
"6 Jul 2024 10:23:08 am UTC","22572820122","Order
","408-4079850-5981145","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","JODHPUR","RAJASTHAN","342008","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"6 Jul 2024 10:23:24 am UTC","22572908662","Order
","405-7364635-5553966","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","RANIKHET","UTTARAKHAND","263645","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"6 Jul 2024 10:23:43 am UTC","22572820122","Order
","405-4154062-1823537","white_111","Perfect Mini Water Bottle/flask |Portable Travel Companion Water Bottle |Glass inner liner with Plastic Shell Bottles For School, Gym, Home, Office,Bo","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","NAWANSHAHR","PUNJAB","144516","211.00","0","0","0","0","0","0","0","-12.45","0","-4.72","0","193.83"
"6 Jul 2024 10:23:46 am UTC","22572908662","Order
","403-5413550-9618764","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","2","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","NEW DELHI","DELHI","110070","598.00","0","0","0","0","0","0","0","-35.28","0","-21.24","0","541.48"
"9 Jul 2024 3:16:27 am UTC","22572820122","Shipping Services
","171-7283978-8730713","","Amazon Easy Ship Weight Handling Fee Reversal","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","66.08","0","66.08"
